Sl. No.,Station Name,Date,Maximum Temperature Degrees Celsius (C),Data Availability From
1,Agra (Taj),28-05-2024,48.6,1977
2,Alappuzha,08-05-2024,38,1951
3,Anantapur,04-05-2024,44.7,1951
4,Arogyavaram,05-05-2024,41.5,1951
5,Barapani,01-05-2024,35.3,1976
6,Bengaluru (Hal),02-05-2024,38.2,1951
7,Bengaluru (Kia),04-05-2024,39.2,2014
8,Chandigarh,29-05-2024,46,1954
9,Cherrapunjee,26-05-2024,30.9,1913
10,Churk,29-05-2024,47,1978
11,Churu,28-05-2024,50.5,1956
12,Cooch Behar,25-05-2024,40.5,1952
13,Dehradun,31-05-2024,43.2,1892
14,Dehri,28-05-2024,47,1952
15,Dharmapuri,02-05-2024,42.5,1975
16,Dhubri,25-05-2024,38.2,1952
17,Erode,02-05-2024,44,1997
18,Fursatganj,29-05-2024,47.2,2006
19,Gaya,29-05-2024,47.4,1896
20,Haldia,01-05-2024,41.8,1981
21,Hamirpur,28-05-2024,48.2,1981
22,Itanagar,25-05-2024,40.5,2007
23,Jhansi,28-05-2024,49,1892
24,Kadappa,03-05-2024,46.2,1897
25,Karur Paramathi,02-05-2024,44.3,1977
26,Karwar,29-05-2024,38,1952
27,Kochi (Cial),08-05-2024,38,2004
28,Kottayam,08-05-2024,37.7,1970
29,Kurnool,04-05-2024,45.9,1921
30,Lumding,25-05-2024,43,1951
31,Malanjkhand,28-05-2024,45,1978
32,Mandya,01-05-2024,39.2,1972
33,Matheran,01-05-2024,36,1974
34,Mazbat,22-05-2024,39.8,1962
35,Mohanbari,25-05-2024,38.8,1952
36,Mysore,03-05-2024,38.3,1899
37,Narnaul,28-05-2024,48.5,1965
38,New Delhi (Ayanagar),28-05-2024,47.6,1967
39,New Delhi (Ridge),28-05-2024,47.5,1973
40,North Lakhimpur,25-05-2024,39.2,1954
41,Orai,29-05-2024,47.4,1951
42,Passighat,25-05-2024,39.6,1957
43,Prayagraj (Allahabad),29-05-2024,48.8,1896
44,Punalur,08-05-2024,40,1956
45,Qazigund,27-05-2024,34,1962
46,Ratlam,24-05-2024,46.2,1951
47,Rewa,28-05-2024,48.2,1965
48,Rohtak,29-05-2024,48.8,1967
49,Sagar,27-05-2024,46.7,1951
50,Sidhi,30-05-2024,48.2,1958
51,Silchar,25-05-2024,40,1900
52,Solan (Nauni),31-05-2024,38.4,1981
53,Sriganganagar,28-05-2024,49.4,1944
54,Sultanpur,31-05-2024,46.2,1970
55,T.B.I.A.,15-05-2024,39.6,2005
56,Tadong,26-05-2024,32.9,1977
57,Tezpur,25-05-2024,39.5,1952
58,Thiruvananthapuram,08-05-2024,37.8,1951
59,Thiruvananthapuram (A),08-05-2024,36.7,1955
60,Thrissur (Vellanikkara),08-05-2024,39.5,1996
61,Tirupati,01-05-2024,45.6,1973
62,Udagamandalam,02-05-2024,28.7,1951
63,Una,29-05-2024,46,1985
64,Valparai,02-05-2024,31.5,2004
65,Varanasi,28-05-2024,47.2,1884
66,Varanasi (A)(Babatpur),30-05-2024,47.8,1952
